;text;Weather;Clock;Calendar;Map;Phone;Email;Calculator;Translator;Web search;Social media;Small talk;Message;Reminders;Music
4;How can I make a call to Diana?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
41;Call 911 in case of danger.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
42;Mute my phone during the meeting.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
43;I'm going to make a call to my mom.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
44;I can't find my phone, have you seen it?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
45;You need to charge your phone, it's almost dead.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
46;The screen of my phone has crashed.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
116;What is your phone number?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
120;Call the hotline 3134 if you have any questions.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
165;Call 113 if you find a fire.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
177;My phone number is 0123456213.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
190;The phone area code for France is +33.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
203;Do you remember his phone number?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
210;Turn off the phone, and call his number, 0134712631.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
214;Don't forget to text 1234 to receive the program's gifts.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
263;When did I last make a phone call with my parents?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
264;How long does it take me to call my friend Bob?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
265;Which time of day is best to talk to my parents on the phone?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
266;How much time do I spend talking on the phone on a normal day?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
267;Did I miss some phone calls this week?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
268;How many times did I make a phone call with my girlfriend today?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
269;Did I have the phone number of Maximum.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
270;Give me the phone number of my father.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
365;Call Mom.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
457;Can you give me the phone number for Amplitude Studios ?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
459;Call 01234567;0;0;0;0;1;0;0;0;0;0;0;0;0;0
460;FaceTime Alex.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
463;Play my voicemail.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
464;Do I have any missed calls?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
465;Redial the last number called.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
466;Add Mary to my contacts.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
467;Block the last caller.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
468;What's the phone number for Ecole Polytechnique?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
469;Search for Sam in my contacts.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
470;What's the call history for the last week?;0;0;0;0;1;0;0;0;0;0;0;0;0;0
471;Forward my calls to 09876543.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
472;Set up a conference call with Mary, Tom, Andrew and Daphne.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
473;Turn on Do Not Disturb.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
474;Turn off Do Not Disturb.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
475;Mute my call.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
476;Put my call on hold.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
477;End my call.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
478;Send Emily my location.;0;0;0;0;1;0;0;0;0;0;0;0;0;0
3;How do I get directions to Maple Street?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;Where is the nearest restaurant?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
34;Give me directions to the nearest gas station;0;0;0;1;0;0;0;0;0;0;0;0;0;0
35;How do I get to Times Square?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;Locate nearby coffee shops;0;0;0;1;0;0;0;0;0;0;0;0;0;0
37;Is there any construction on my route?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
38;Dispatch 5 soldiers to the Paris.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
39;Denmark is north of Germany.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
40;Singapore is in the northern hemisphere.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
113;If we upgrade this function, we will see the map of our allies.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
119;At 12 o'clock corner there is an enemy base.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
128;It is very difficult to find your location on google maps.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
168;Show me where the enemy is.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
171;Buy 100 more gold to see the enemy map.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
185;His location on the map is in the northwest corner, immediately send the catapult there.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
199;Paris is poorly drawn on the map.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
206;This is our battle map.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
252;How far is it to town?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
253;Where is my favorite part of town?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
254;How far do I need to walk to get here?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
255;How long does it take to get to school from here?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
256;How many blocks away do I live from the restaurant called ???????;0;0;0;1;0;0;0;0;0;0;0;0;0;0
257;Where is the nearest supermarket?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
258;How far do I need to drive out to find a farm?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
259;Where is the nearest hiking trail?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
260;Where is the nearest public library in our town?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
261;What is the name of the supermarket on 16th Street?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
262;What is the address for the school office?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
366;Find directions to the nearest bus station.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
371;How do I get to Paris from here?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
372;What's the traffic like on the way to Houston?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
440;How do I get to Lyon?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
441;What is the best route to Perth ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
442;What are some nearby touristic attractions ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
443;What is the current traffic like on the way to San Francisco ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
444;Can you give me walking directions to ENSTA Paris ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
445;Can you give me biking directions to McDonald's ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
446;How long will it take to get to New Delhi ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
447;Can you show me the map of Yellowstone Park ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
448;What are the hours of the Louvre museum ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
449;Is there a gas station near me ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
450;Can you give me public transportation directions to Charles de Gaulle Airport?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
451;Can you find me a hotel near the Eiffel Tower?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
452;Can you give me directions to the nearest shopping center?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
453;Can you give me turn-by-turn directions to NASA HQ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
454;Can you give me an estimated time of arrival for this trip ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
455;What's the address of the Electra Metropolis Hotel ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
456;Can you show me the satellite view of Dubai ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
458;Can you find me a parking spot near the train station ?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
537;Search for the best pizza near me.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
540;Find the nearest gas station.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
544;Where is the Eiffel tower located?;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2;What date is it today?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
28;Add a meeting with John at 2pm next Monday.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
29;What is my schedule for tomorrow?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
30;Cancel the event at 4pm.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31;Remind me to call Sarah at 6pm;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32;When is my next meeting?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
33;Create a new event for tomorrow at 3pm;0;0;1;0;0;0;0;0;0;0;0;0;0;0
108;Don't forget we have an appointment tomorrow afternoon.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
117;Next Saturday (January 28, 2023), we will begin preparations for the ceremony.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
130;What's today? Which day is this today?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
132;The test will take place on February 14, 2023.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
141;Today is March 12, 2019.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
156;The wedding ceremony will take place next Sunday, January 15, 2023.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
192;My birthday is October 1, 1949.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
202;The parade will be held on July 14.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
243;What is today's date?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
244;What is the season?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
245;How many weeks until summer?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
246;What day is the birthday of my girlfriend?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
247;How much time until Christmas?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
248;What day is the next holiday?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
249;When is the best time for me to pay rent?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
250;What month has the most days during the school year?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
251;What part of the year does the harvest happen?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
416;Create a new calendar event;0;0;1;0;0;0;0;0;0;0;0;0;0;0
417;Show me my upcoming events;0;0;1;0;0;0;0;0;0;0;0;0;0;0
422;What are my upcoming events?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
423;Create a new calendar event for the 8th of June.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
424;What is my schedule for tomorrow ?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
425;Delete tomorrow's event;0;0;1;0;0;0;0;0;0;0;0;0;0;0
426;Show me the next events from my music calendar.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
427;Send an invite to the party to Tom and Henry.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
428;Accept this invite.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
429;How long until my next event?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
430;Show me my upcoming birthdays;0;0;1;0;0;0;0;0;0;0;0;0;0;0
431;Add a new calendar from URL.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
432;Show me my calendar for the month.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
433;What is the date ?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
434;What is the time remaining for my current event?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
435;Show me the location of Friday's event.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
436;Show me my completed events;0;0;1;0;0;0;0;0;0;0;0;0;0;0
437;Schedule a meeting with my work group.;0;0;1;0;0;0;0;0;0;0;0;0;0;0
438;Show me my declined events;0;0;1;0;0;0;0;0;0;0;0;0;0;0
439;What are my busy times this week ?;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;What's the time?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
17;Wake me up at 8 a.m.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
23;Start a timer for 15 minutes.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24;Set an alarm for 7 am.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
25;Stop the alarm.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
26;What time is it?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
27;Snooze the alarm for 10 minutes.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
104;What time do we leave school?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
111;With a situation like this, what time will we start?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
115;Do you remember what time we start the examination?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
125;What time is it?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
137;We start at 8:30.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
146;The surgery was carried out at 7:30 a.m. yesterday.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
153;We have a meeting at 14:30, don't be late.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
163;Hurry up, submission deadline is 11:59pm tomorrow.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
174;What time is it in Paris?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
230;How much time can I get on this assignment?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
231;When do I need to be home?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
232;What time of day is best to get a good deal?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
233;Do I have enough time for a cup of coffee before my meeting?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
234;How long is all of this going to take?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
235;When do I need to be there to finish this on time?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
236;Show me the time in New York now.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
237;Set up an alarm clock for tomorrow morning.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
238;When is the best time for me to take a break?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
239;When will the meeting start?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
240;When do I need to go to bed?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
241;When can I eat dinner?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
242;When am I going to be home for Thanksgiving dinner?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
361;Set a timer for 20 minutes.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
363;What's the time?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
380;Can you set an alarm for 8 am tomorrow?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
381;Can you give me the time in Sidney?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
384;Countdown 50 seconds.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
405;What time is it?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
406;Set an alarm for 8 pm.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
407;Wake me up in 3 hours.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
408;Snooze my alarm;0;1;0;0;0;0;0;0;0;0;0;0;0;0
409;Turn off my alarm;0;1;0;0;0;0;0;0;0;0;0;0;0;0
410;How long until my next alarm?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
411;Set a timer for 6 hours.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
412;Show me my alarm list;0;1;0;0;0;0;0;0;0;0;0;0;0;0
413;Stop the timer;0;1;0;0;0;0;0;0;0;0;0;0;0;0
418;How much time is left on my timer?;0;1;0;0;0;0;0;0;0;0;0;0;0;0
419;Set the sleep timer for 7 hours.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
420;Set a world clock for New York.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
421;Show me the time in Mexico.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10;What are the latest updates on Facebook?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;How to post this pic on Instagram?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
74;Follow this account on Twitter.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
75;Check my Pinterest for new ideas.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
76;How to make a TikTok video?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
77;I need to update my LinkedIn profile.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
78;Update Snapchat for new stories.;0;0;0;0;0;0;0;0;0;1;0;0;0;0
110;How to block account of a person in fb;0;0;0;0;0;0;0;0;0;1;0;0;0;0
122;How to update story in facebook;0;0;0;0;0;0;0;0;0;1;0;0;0;0
179;How to upload a image in ¡nsta;0;0;0;0;0;0;0;0;0;1;0;0;0;0
182;How to delete a story in fb?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
191;Unfriend a person in fb;0;0;0;0;0;0;0;0;0;1;0;0;0;0
204;How to check who frequently view your profile in fb?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
207;Make a short clip in tiktok;0;0;0;0;0;0;0;0;0;1;0;0;0;0
213;Make clip with youtube;0;0;0;0;0;0;0;0;0;1;0;0;0;0
308;What is the hottest news on facebook?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
309;What did President Biden say on twitter yesterday?;0;0;0;0;0;0;0;0;0;1;0;0;0;0
